Title;Author;Rating
Shatter Me (Shatter Me, #1);Tahereh Mafi;5
American Beauty (A-List, #7);Zoey Dean;3
Heart of Glass (A-List, #8);Zoey Dean;3
Beautiful Stranger (A-List, #9);Zoey Dean;3
California Dreaming (A-List, #10);Zoey Dean;3
Lola and the Boy Next Door (Anna and the French Kiss, #2);Stephanie Perkins;4
Rats Saw God;Rob Thomas;0
How to Teach Filthy Rich Girls;Zoey Dean;4
Naomi and Ely's No Kiss List;Rachel Cohn;4
Half-Blood (Covenant, #1);Jennifer L. Armentrout;3
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4);Rick Riordan;4
The Last Olympian (Percy Jackson and the Olympians, #5);Rick Riordan;5
Twilight: The Graphic Novel, Vol. 2  (Twilight: The Graphic Novel, #2);Young Kim;4
Fury (Fury, #1);Elizabeth  Miles;5
Clockwork Prince (The Infernal Devices, #2);Cassandra Clare;5
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #2);C.S. Lewis;3
Breaking Dawn (The Twilight Saga, #4);Stephenie Meyer;2
The Lost Hero (The Heroes of Olympus, #1);Rick Riordan;4
The Boy Book: A Study of Habits and Behaviors, Plus Techniques for Taming Them (Ruby Oliver, #2);E. Lockhart;4
The Son of Neptune (The Heroes of Olympus, #2);Rick Riordan;5
Pretty Little Liars (Pretty Little Liars, #1);Sara Shepard;4
Obsidian (Lux, #1);Jennifer L. Armentrout;1
I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1);Ally Carter;4
Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life;Bryan Lee O'Malley;5
Wither (The Chemical Garden, #1);Lauren DeStefano;4
Bloodrose (Nightshade #3);Andrea Cremer;4
Before I Fall;Lauren Oliver;4
Legend (Legend, #1);Marie Lu;5
Beautiful Creatures (Caster Chronicles, #1);Kami Garcia;4
The Fault in Our Stars;John Green;5
Deadly Cool (Deadly Cool, #1);Gemma Halliday;4
Hush, Hush (Hush, Hush, #1);Becca Fitzpatrick;1
Dead Until Dark (Sookie Stackhouse, #1);Charlaine Harris;4
Unearthly (Unearthly, #1);Cynthia Hand;5
The Treasure Map of Boys: Noel, Jackson, Finn, Hutch, Gideon—and me, Ruby Oliver  (Ruby Oliver, #3);E. Lockhart;4
Real Live Boyfriends: Yes. Boyfriends, plural. If my life weren't complicated, I wouldn't be Ruby Oliver (Ruby Oliver, #4);E. Lockhart;4
Heist Society (Heist Society, #1);Ally Carter;4
Percy Jackson: The Demigod Files (Percy Jackson and the Olympians);Rick Riordan;4
Nick & Norah's Infinite Playlist;Rachel Cohn;4
Living Dead in Dallas (Sookie Stackhouse, #2);Charlaine Harris;4
Club Dead (Sookie Stackhouse, #3);Charlaine Harris;4
Dead to the World (Sookie Stackhouse, #4);Charlaine Harris;5
Dead as a Doornail (Sookie Stackhouse #5);Charlaine Harris;4
Definitely Dead (Sookie Stackhouse #6);Charlaine Harris;4
All Together Dead (Sookie Stackhouse #7);Charlaine Harris;4
From Dead to Worse (Sookie Stackhouse, #8);Charlaine Harris;4
Dead and Gone (Sookie Stackhouse, #9);Charlaine Harris;4
Dead in the Family (Sookie Stackhouse #10);Charlaine Harris;4
Dead Reckoning (Sookie Stackhouse, #11);Charlaine Harris;4
Flawless (Pretty Little Liars, #2);Sara Shepard;4
The Book of Blood and Shadow;Robin Wasserman;5
Eighth Grade Bites (The Chronicles of Vladimir Tod, #1);Heather Brewer;3
Hex Hall (Hex Hall, #1);Rachel Hawkins;4
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1);Laini Taylor;5
Perfect (Pretty Little Liars, #3);Sara Shepard;4
Hereafter (Hereafter, #1);Tara Hudson;3
Unbelievable (Pretty Little Liars, #4);Sara Shepard;4
The Future of Us;Jay Asher;0
The Invention of Hugo Cabret;Brian Selznick;5
Dear Mr. Potter: Letters of Love, Loss, and Magic;Lily Zalon;4
Wicked (Pretty Little Liars, #5);Sara Shepard;4
Killer (Pretty Little Liars, #6);Sara Shepard;5
Heartless (Pretty Little Liars, #7);Sara Shepard;4
A Visitor's Guide to Mystic Falls: Your Favorite Authors on The Vampire Diaries;Red;4
The Iron King (The Iron Fey, #1);Julie Kagawa;4
Wanted (Pretty Little Liars, #8);Sara Shepard;4
Shiver (The Wolves of Mercy Falls, #1);Maggie Stiefvater;3
The Bad Beginning  (A Series of Unfortunate Events, #1);Lemony Snicket;4
The Perks of Being a Wallflower;Stephen Chbosky;4
Codename: Sailor V, Vol. #1 (Codename: Sailor V Renewal Edition, #1);Naoko Takeuchi;4
A Beautiful Dark (A Beautiful Dark, #1);Jocelyn Davies;4
If I Stay (If I Stay, #1);Gayle Forman;4
Dream Dark (Caster Chronicles, #2.5);Kami Garcia;4
Beautiful Darkness (Caster Chronicles, #2);Kami Garcia;4
Speak;Laurie Halse Anderson;4
Small Town Sinners;Melissa C. Walker;4
Remembrance (Transcend Time, #1);Michelle Madow;3
Pure (Covenant, #2);Jennifer L. Armentrout;3
Soul Screamers Volume One (Soul Screamers, #0.5, 1, 2);Rachel Vincent;4
Bloodlines (Bloodlines, #1);Richelle Mead;5
Shine;Lauren Myracle;4
Fateful;Claudia Gray;5
The Absolutely True Diary of a Part-Time Indian;Sherman Alexie;3
Vampire Academy: The Graphic Novel (Vampire Academy: The Graphic Novel, #1);Richelle Mead;5
How to Be Bad;E. Lockhart;4
Wicked Lovely (Wicked Lovely, #1);Melissa Marr;5
The Reptile Room (A Series Of Unfortunate Events, #2);Lemony Snicket;4
Fifty Shades of Grey (Fifty Shades, #1);E.L. James;2
A Game of Thrones (A Song of Ice and Fire, #1);George R.R. Martin;5
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);Douglas Adams;3
Cracked Up to Be;Courtney Summers;4
Insurgent (Divergent, #2);Veronica Roth;0
The Giver (The Giver, #1);Lois Lowry;4
The Near Witch (The Near Witch, #1);Victoria Schwab;4
Purity;Jackson Pearce;5
The Selection (The Selection, #1);Kiera Cass;4
Hana (Delirium, #1.5);Lauren Oliver;4
City of Lost Souls (The Mortal Instruments, #5);Cassandra Clare;5
Pandemonium (Delirium, #2);Lauren Oliver;4
Suite Scarlett (Scarlett, #1);Maureen Johnson;4
Chime;Franny Billingsley;3
So Shelly;Ty Roth;5
Long Hard Ride (Rough Riders, #1);Lorelei James;4
Infinity (Chronicles of Nick, #1);Sherrilyn Kenyon;4
Black Heart (Curse Workers, #3);Holly Black;4
Social Suicide (Deadly Cool, #2);Gemma Halliday;4
Liberating Lacey;Anne Calhoun;3
The Golden Lily (Bloodlines, #2);Richelle Mead;4
Thumped (Bumped, #2);Megan McCafferty;4
Endlessly (Paranormalcy, #3);Kiersten White;4
Destroy Me (Shatter Me, #1.5);Tahereh Mafi;5
Anna Dressed in Blood (Anna, #1);Kendare Blake;5
Twisted (Pretty Little Liars, #9);Sara Shepard;4
Shade (Shade, #1);Jeri Smith-Ready;4
Losing It (Losing It, #1);Cora Carmack;4
Blindfolded Innocence (Innocence, #1);Alessandra Torre;3
The Mark of Athena (The Heroes of Olympus, #3);Rick Riordan;4
Wonderstruck;Brian Selznick;4
The Silver Linings Playbook;Matthew Quick;4
Love and Other Perishable Items;Laura Buzo;4
Deity (Covenant, #3);Jennifer L. Armentrout;2
Shut Out (Hamilton High, #2);Kody Keplinger;4
A Midsummer's Nightmare (Hamilton High, #3);Kody Keplinger;4
Burn for Burn (Burn for Burn #1);Jenny Han;4
Elixir (Covenant, #3.5);Jennifer L. Armentrout;3
Scarlett Fever (Scarlett, #2);Maureen Johnson;4
Devilish;Maureen Johnson;4
Cowgirl Up and Ride (Rough Riders, #3);Lorelei James;4
Ruthless (Pretty Little Liars, #10);Sara Shepard;4
The Madness Underneath (Shades of London, #2);Maureen Johnson;4
The Fame Game (Fame Game, #1);Lauren Conrad;4
Clockwork Princess (The Infernal Devices, #3);Cassandra Clare;4
Starstruck (Fame Game, #2);Lauren Conrad;4
Eleanor & Park;Rainbow Rowell;0
The Indigo Spell (Bloodlines, #3);Richelle Mead;4
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)";Abbi Glines;2
"Never Too Far (Rosemary Beach, #2; Too Far, #2)";Abbi Glines;2
The Moon and More;Sarah Dessen;4
The Evolution of Mara Dyer (Mara Dyer, #2);Michelle Hodkin;4
Deadlocked (Sookie Stackhouse, #12);Charlaine Harris;2
Fangirl;Rainbow Rowell;0
Allegiant (Divergent, #3);Veronica Roth;0
The Naturals (The Naturals, #1);Jennifer Lynn Barnes;4
The House of Hades (Heroes of Olympus, #4);Rick Riordan;4
Pretty Little Secrets: A Pretty Little Liars Collection (Pretty Little Liars, #4.5);Sara Shepard;4
Stunning (Pretty Little Liars, #11);Sara Shepard;4
Burned (Pretty Little Liars, #12);Sara Shepard;4
Shadow and Bone (The Shadow and Bone Trilogy, #1);Leigh Bardugo;5
Foreplay (The Ivy Chronicles, #1);Sophie Jordan;3
Girl of Nightmares (Anna, #2);Kendare Blake;4
Orange Is the New Black: My Year in a Women's Prison;Piper Kerman;4
Throne of Glass (Throne of Glass, #1);Sarah J. Maas;0
Invincible (Chronicles of Nick, #2);Sherrilyn Kenyon;4
Infamous (Chronicles of Nick, #3);Sherrilyn Kenyon;3
Dead Ever After (Sookie Stackhouse, #13);Charlaine Harris;4
The Thousand-Dollar Tan Line (Veronica Mars, #1);Rob Thomas;0
The Rosie Project (Don Tillman, #1);Graeme Simsion;4
Crushed (Pretty Little Liars, #13);Sara Shepard;4
Deadly (Pretty Little Liars, #14);Sara Shepard;3
City of Heavenly Fire (The Mortal Instruments, #6);Cassandra Clare;4
Same Difference;Siobhan Vivian;4
Attachments;Rainbow Rowell;0
The Elite (The Selection, #2);Kiera Cass;4
Virgin;Radhika Sanghani;3
Easy (Contours of the Heart, #1);Tammara Webber;4
